city,temp,description,temp_min,temp_max,my_timezone,sunrise_local,sunset_local,dt_local_datetime,dt_colab
Resistencia,16.92,clear sky,16.03,16.99,-3.0,07:40:06,18:24:32,2023-07-27 15:18:29,2023-07-27T12:18:29
City of London,21.56,broken clouds,18.71,23.6,1.0,01:16:01,16:57:30,2023-07-27 15:16:47,2023-07-27T12:16:47
New York,33.55,scattered clouds,30.55,35.51,-4.0,06:47:38,21:17:11,2023-07-27 15:19:06,2023-07-27T12:19:06
Cordoba,32.57,clear sky,32.57,32.57,2.0,02:17:38,16:33:21,2023-07-27 15:22:57,2023-07-27T12:22:57
Taipei,25.6,heavy intensity rain,24.28,28.15,8.0,18:18:34,07:41:00,2023-07-27 15:22:58,2023-07-27T12:22:58
Buenos Aires F.D.,12.11,clear sky,10.94,13.39,-3.0,07:51:32,18:08:50,2023-07-27 15:19:09,2023-07-27T12:19:09
Mexico City,18.02,haze,17.75,19.25,-6.0,09:10:53,22:14:55,2023-07-27 15:20:51,2023-07-27T12:20:51
Dublin City,21.37,few clouds,20.36,22.22,1.0,01:32:27,17:30:18,2023-07-27 15:19:41,2023-07-27T12:19:41
Tbilisi,28.23,clear sky,28.23,28.23,4.0,22:49:22,13:24:47,2023-07-27 15:19:38,2023-07-27T12:19:38
Bogota,19.77,scattered clouds,19.77,19.77,-5.0,07:52:44,20:12:42,2023-07-27 15:16:16,2023-07-27T12:16:16
Tokyo,27.8,broken clouds,24.3,29.23,9.0,16:45:23,06:49:51,2023-07-27 15:20:00,2023-07-27T12:20:00
